hook,platform,price_band,proof_line
"Brand Stamp Kit: n8n plus Stripe is still an empty shelf on Gumroad. That is the point.",meta,59,"Three workflows in the sidebar. Brand Stamp Kit."
"Support Agent Prompt Desk: Cursor invented a second dashboard. These rules make it stop.",youtube,39,"Diff: deleted routes. Support Agent Prompt Desk."
"Ignite Press Bundle: One listing, one promise. If the title says UGC, the bullets cannot pivot to n8n.",x,29,"Shopify title + bullets. Ignite Press Bundle."
"Heat Press Photo Desk: Four emails. Seventy words. No quick question.",instagram,47,"Sequence doc, touch 1 highlighted. Heat Press Photo Desk."
"UGC Floor: Support agents that invent order IDs will lose you Stripe.",linkedin,34,"Prompt: never invent an ID. UGC Floor."
"n8n Lead-to-Stripe Line: Bundle is $149. Separate is $226. That is the ladder, not a fake countdown.",tiktok,149,"Four folders, one price. n8n Lead-to-Stripe Line."
"Cursor Agency Skill Drop: I was paying Photoroom monthly. This is a local graph.",meta,49,"Cancel screen then ComfyUI. Cursor Agency Skill Drop."
"Faceless Shorts Desk: If the logo melts, reshoot. Do not raise denoise.",youtube,49,"Melted vs clean crop. Faceless Shorts Desk."
"Shopify Listing Stamp Pack: Faceless does not mean stock footage sludge. It means your screen.",x,47,"Terminal + graph, no face. Shopify Listing Stamp Pack."
"Outbound Sequence Press: Your ICP is not 'entrepreneurs'. Name the shop software.",instagram,47,"ICP skip list. Outbound Sequence Press."
"Brand Stamp Kit: Member price is $29 a month. No limited seats theater.",linkedin,29,"Press pass card. Brand Stamp Kit."
"Support Agent Prompt Desk: White-label this pack? No. That is in the license.",tiktok,39-149,"LICENSE.txt. Support Agent Prompt Desk."
"Ignite Press Bundle: Amazon wants white. Etsy wants honest first. Two stills, two jobs.",meta,49,"QA checklist. Ignite Press Bundle."
